weight_1,weight_2,weight_3,best_metric,metric_optimized,time
0.87811,0.11593,0.11482,0.81995606,0.8241386,70.4773211479187
0.69836,0.37894,0.03559,1.0,1.0,70.94810938835144
0.99465,0.70264,0.25026,0.8081610798835754,0.8123359680175781,69.99903655052185
0.79125,0.00451,0.55192,0.6054732203483582,0.6054732203483582,70.41899871826172
0.7445,0.20398,0.72118,0.8216540813446045,0.8490737676620483,69.5832462310791
0.51099,0.06457,0.36786,0.6996052265167236,0.7097962498664856,69.20199990272522
0.34923,0.21566,0.25867,0.7552698254585266,0.7640879154205322,69.54399991035461
0.2492,0.76994,0.18387,0.6306007504463196,0.6381532549858093,69.80599904060364
0.16261,0.44123,0.3477,0.4998575150966644,0.53565913438797,69.27900791168213
0.79608,0.13181,0.25752,0.7942240238189697,0.7949308753013611,70.88768696784973
0.21638,0.78452,0.14882,0.641207218170166,0.6444280743598938,69.80800986289978
0.68962,0.20682,0.17321,0.712746798992157,0.7223878502845764,69.3840000629425
0.24797,0.66229,0.03792,0.752204179763794,0.7526025772094727,69.16099882125854
0.14759,0.96332,0.11699,0.7630134224891663,0.7575284838676453,69.06199765205383
0.86549,0.13484,0.12934,0.6443032622337341,0.6441069841384888,69.24399948120117
0.7159,0.16771,0.059,0.7494115829467773,0.7572848796844482,69.36200046539307
0.80658,0.4479,0.37906,0.716502845287323,0.7263422012329102,68.89200067520142
0.60449,0.40899,0.29999,0.8292819261550903,0.823931872844696,68.45499968528748
0.34484,0.4716,0.14923,0.8586810827255249,0.8630481958389282,69.42199993133545
0.69553,0.41056,0.3663,0.7437335252761841,0.754752516746521,68.55200004577637
0.58076,0.196,0.02532,0.7984177470207214,0.8174910545349121,68.7999997138977
0.19372,0.17122,0.58878,0.5976952314376831,0.5975951552391052,69.13599944114685
0.79601,0.30351,0.09462,0.5180619955062866,0.5170427560806274,69.43499970436096
0.47439,0.14558,0.35568,0.7777319550514221,0.7804609537124634,69.20699620246887
0.40919,0.35231,0.67313,0.5095704793930054,0.543069064617157,68.92699885368347
0.69751,0.20971,0.02324,0.7539446949958801,0.7539446949958801,69.3129985332489
0.86094,0.03119,0.02747,0.8035809397697449,0.8035809397697449,69.4559998512268
0.09977,0.86166,0.19036,0.6756364107131958,0.669258713722229,69.17599892616272
0.06865,0.82637,0.16952,0.7454224228858948,0.7458975315093994,69.13199996948242
0.15277,0.72599,0.14689,0.5836693048477173,0.5952895879745483,68.73600006103516
0.35678,0.33926,0.38908,0.712282121181488,0.7428266406059265,69.1560001373291
0.92305,0.14695,0.25919,0.5796271562576294,0.5671578645706177,69.34599995613098
0.93101,0.74033,0.06686,0.7062468528747559,0.721750020980835,68.97300100326538
0.19849,0.11119,0.61961,0.8000738024711609,0.804843008518219,68.87000012397766
0.71364,0.16293,0.20158,0.7852135300636292,0.7879384756088257,69.24599957466125
